GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Constructor,default,Book,26,0,0,0,12,0,6,0,6,0
Constructor,default,ProductManager,0,60,0,4,0,13,0,6,0,4
Constructor,default,Product,26,18,0,0,10,7,6,3,6,3
Constructor,default,RepositoryProduct,10,82,0,4,3,20,1,6,1,4
Constructor,default,Smartphone,26,0,0,0,12,0,6,0,6,0
